year,place,title,author,categories,pageCount,averageRating,ratingsCount,publishedDate,description
2018,U.S.,1876,Gore Vidal,Fiction,385.0,,,2018-08-22,"The third volume of Gore Vidal's magnificent series of historical novels aimed at demythologizing the American past, 1876 chronicles the political scandals and dark intrigues that rocked the United States in its centennial year. ------Charles Schermerhorn Schuyler, Aaron Burr's unacknowledged son, r"
1986,U.S.,"""...And Ladies of the Club""",Helen Hooven Santmyer,,1433.0,,,1986,
2011,U.S.,11/22/63,Stephen King,Fiction,866.0,4.0,2.0,2011-11-08,"ON NOVEMBER 22, 1963, THREE SHOTS RANG OUT IN DALLAS, PRESIDENT KENNEDY DIED, AND THE WORLD CHANGED. WHAT IF YOU COULD CHANGE IT BACK? In this brilliantly conceived tour de force, Stephen King who has absorbed the social, political, and popular culture of his generation more imaginatively and thorou"
1982,England,2010: Odyssey Two,Arthur C. Clarke,Fiction,328.0,3.0,1.0,1982,"""A daring romp through the solar system and a worthy successor to 2001."" *Carl Sagan Nine years after the disastrous Discovery mission to Jupiter in 2001, a joint U.S.-Soviet expedition sets out to rendezvous with the derelict spacecraft *to search the memory banks of the mutinous computer HAL 9000"
2016,U.S.,A Court of Mist and Fury,Sarah J. Maas,Fiction,678.0,4.5,4.0,2016-05-03,"The second instalment of the GLOBAL PHENOMENON, romantic fantasy epic and TikTok sensation, ACOTAR. From multi-million and #1 Sunday Times bestselling author Sarah J. Maas. Maas has established herself as a fantasy fiction titan - Time Think Game of Thrones meets Buffy the Vampire Slayer with a driz"
2022,U.S.,A Court of Thorns and Roses,Sarah J. Maas,Fiction,2964.0,,,2022-05-05,"Lose yourself in the seductive world of the Court of Thorns and Roses series by internationally bestselling author Sarah J. Maas with this five-ebook bundle. ""Passionate, violent, sexy and daring."" -USA TODAY on A Court of Thorns and Roses Feyre is a huntress. The skin of a wolf would bring enough g"
2011,U.S.,A Dance with Dragons,George R. R. Martin,Fiction,1016.0,2.5,2.0,2011,A latest installment of the popular series follows a showdown set in the north of the Seven Kingdoms and reveals the circumstances that shaped southern-region events. By the best-selling author of A Feast for Crows.
2018,,A Day in the Life of Marlon Bundo,Jill Twiss,Juvenile Fiction,40.0,,,2018-03-18,"100% of Last Week Tonight's proceeds will be donated to The Trevor Project and AIDS United. HBO's Emmy-winning Last Week Tonight with John Oliver presents a children's picture book about a Very Special boy bunny who falls in love with another boy bunny. Meet Marlon Bundo, a lonely bunny who lives wi"
2002,U.S.,A Day Late and a Dollar Short,Terry McMillan,Fiction,323.0,4.0,3.0,2002-01-01,"“Without question, this is McMillan’s best. A glorious novel....A moving tapestry of familial love and redemption.”—The Washington Post With her hallmark exuberance and a cast of characters so sassy, resilient, and full of life that they breathe, dream, and shout right off the page, Terry McMillan h"
2014,Sweden,A Man Called Ove,Fredrik Backman,Fiction,352.0,,,2014-07-15,"""A grumpy yet loveable man finds his solitary world turned on its head when a boisterous young family moves in next door""--Amazon.com."
2010,U.S.,A Man in Full,Tom Wolfe,Fiction,756.0,,,2010-04-01,"Tom Wolfe's THE BONFIRE OF THE VANITIES defined an era and established Wolfe as our prime fictional chronicler of America at its most outrageous and alive. In his #1 New York Times bestseller and National Book Award finalist, A MAN IN FULL, the setting shifts to Atlanta, Georgia—a racially mixed lat"
2001,U.S.,A Painted House,John Grisham,Fiction,394.0,,,2001,"It is the 1950s in Arkansas, the cotton season and to the Chandler family it means hard work, temporary workers and a host of complications. A story inspired by Grisham's own childhood in rural Arkansas. The narrator is a seven year old farm boy, who lives in the cotton fields with his parents and g"
2018,England,A Perfect Spy,John le Carré,Fiction,410.0,,,2018-09-27,"'The best English novel since the war' Philip Roth Magnus Pym - ranking diplomat, consummate Englishman, loving husband, secret agent - has vanished. Has he defected? Gone to ground? As the hunt for Pym intensifies, the secrets of his life are revealed: the people he has loved and betrayed, the unre"
2006,U.S.,A Stranger in the Mirror,Sidney Sheldon,Fiction,404.0,4.0,1.0,2006,"From humble beginnings, Toby Temple became a superstar. Jill Castle found breaking into Hollywood as an actress impossible without auditioning on the directors' infamous casting couches. But, with one glance, Toby falls for Jill's beauty and sweeps her out of obscurity to stardom by his side."
2020,Afghanistan,A Thousand Splendid Suns,Khaled Hosseini,Fiction,433.0,,,2020-11-12,"THE RICHARD & JUDY NUMBER ONE BESTSELLER 'A suspenseful epic' Daily Telegraph 'A triumph' Financial Times 'Heartbreaking' Mail on Sunday 'Deeply moving' Sunday Times Mariam is only fifteen when she is sent to Kabul to marry Rasheed. Nearly two decades later, a friendship grows between Mariam and a l"
1997,U.S.,A Wrinkle in Time,Madeleine L’Engle,Education,20.0,4.0,15.0,1997-09,"Meg Murry and her friends become involved with unearthly strangers and a search for Meg's father, who has disappeared while engaged in secret work for the government."
2009,U.S.,Accident,Danielle Steel,Fiction,418.0,5.0,1.0,2009-12-01,"Although frequent business meetings keep her husband, Brad, away from home, Page Clarke feels blessed with her happy family and comfortable marriage. They have a house near San Francisco and she keeps busy looking after their seven-year-old son, Andy, and their teenage daughter, Allyson. Allyson, at"
2001,U.S.,Airframe,Michael Crichton,Fiction,341.0,4.0,5.0,2001-01-18,"#1 NEW YORK TIMES BESTSELLER • From the author of Jurassic Park, Timeline, and Sphere comes this extraordinary thriller about airline safety, business intrigue, and a deadly cover-up. “The pacing is fast, the suspense nonstop.”—People Three passengers are dead. Fifty-six are injured. The interior ca"
2013,U.S.,Alaska,James A. Michener,Fiction,1178.0,,,2013-12-17,"In this sweeping epic of the northernmost American frontier, James A. Michener guides us through Alaska’s fierce terrain and history, from the long-forgotten past to the bustling present. As his characters struggle for survival, Michener weaves together the exciting high points of Alaska’s story: it"
